YP_005227343.1	2edae6e242f26175853f30f948eda820	1038	Pfam	PF00873	AcrB/AcrD/AcrF family	1	1021	0.0	T	15-06-2025	IPR001036	Acriflavin resistance protein	GO:0016020(InterPro)|GO:0022857(InterPro)|GO:0055085(InterPro)	-
YP_005226024.1	13acb00ce7c57dd1d61e14d339c449d0	154	Pfam	PF05926	Phage head completion protein (GPL)	16	154	3.0E-46	T	15-06-2025	IPR009225	Bacteriophage head completion protein GpL	GO:0019069(InterPro)	-
YP_005227596.1	06365e1ce6f32dcebd5f33e62d213b6d	352	Pfam	PF13458	Periplasmic binding protein	9	348	8.3E-57	T	15-06-2025	IPR028081	Leucine-binding protein domain	-	-
YP_005225646.1	545c7697f2a7274b0785d4bfed72677d	395	Pfam	PF04055	Radical SAM superfamily	31	198	4.2E-16	T	15-06-2025	IPR007197	Radical SAM	GO:0003824(InterPro)|GO:0051536(InterPro)	-
YP_005225386.1	2a822229f41daf72889c2888a2a48297	622	Pfam	PF07969	Amidohydrolase family	52	536	1.7E-133	T	15-06-2025	IPR013108	Amidohydrolase 3	-	-
YP_005226460.1	a8c32f0f0f47bcfd88d150ba1a32b6d4	397	Pfam	PF00291	Pyridoxal-phosphate dependent enzyme	53	374	7.3E-41	T	15-06-2025	IPR001926	Tryptophan synthase beta chain-like, PALP domain	-	-
YP_005229482.1	e72fdc267d38748189994b8fb0bd2432	519	Pfam	PF02378	Phosphotransferase system, EIIC	17	350	7.7E-53	T	15-06-2025	IPR003352	Phosphotransferase system, EIIC	GO:0008982(InterPro)|GO:0009401(InterPro)|GO:0016020(InterPro)	-
YP_005229482.1	e72fdc267d38748189994b8fb0bd2432	519	Pfam	PF00367	phosphotransferase system, EIIB	446	478	6.2E-10	T	15-06-2025	IPR018113	Phosphotransferase system EIIB, cysteine phosphorylation site	GO:0008982(InterPro)	-
YP_005227258.1	f1bab603d8a5068e0a1ef982de3d4dc1	155	Pfam	PF05433	Glycine zipper 2TM domain	62	102	3.4E-4	T	15-06-2025	IPR008816	Glycine zipper 2TM domain	GO:0019867(InterPro)	-
YP_005224804.1	49e864aeb7dd4f537df0a2ab215cd030	311	Pfam	PF02729	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain	8	148	1.0E-44	T	15-06-2025	IPR006132	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding	GO:0006520(InterPro)|GO:0016743(InterPro)	-
YP_005224804.1	49e864aeb7dd4f537df0a2ab215cd030	311	Pfam	PF00185	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	155	303	5.8E-26	T	15-06-2025	IPR006131	Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain	GO:0006520(InterPro)|GO:0016597(InterPro)|GO:0016743(InterPro)	-
YP_005225379.1	04629581a38d2427853ff0b65351d202	431	Pfam	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	313	424	3.3E-26	T	15-06-2025	IPR003594	Histidine kinase/HSP90-like ATPase	-	-
YP_005225379.1	04629581a38d2427853ff0b65351d202	431	Pfam	PF11808	Phosphate regulon sensor protein PhoR	6	91	1.2E-23	T	15-06-2025	IPR021766	Phosphate regulon sensor protein PhoR	GO:0000155(InterPro)|GO:0000160(InterPro)|GO:0004721(InterPro)	-
YP_005225379.1	04629581a38d2427853ff0b65351d202	431	Pfam	PF00989	PAS fold	99	194	2.6E-6	T	15-06-2025	IPR013767	PAS fold	GO:0006355(InterPro)	-
YP_005225379.1	04629581a38d2427853ff0b65351d202	431	Pfam	PF00512	His Kinase A (phospho-acceptor) domain	203	268	1.0E-17	T	15-06-2025	IPR003661	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain	GO:0000155(InterPro)|GO:0007165(InterPro)	-
YP_005228563.1	dd2d6fe09154dca21f215bf030cb9efc	319	Pfam	PF03186	CobD/Cbib protein	7	297	1.5E-106	T	15-06-2025	IPR004485	Cobalamin biosynthesis CobD/CbiB	GO:0009236(InterPro)|GO:0016020(InterPro)|GO:0048472(InterPro)	-
YP_005224947.1	c425665b0ea7305b14baf70b9751991d	199	Pfam	PF01081	KDPG and KHG aldolase	2	180	3.5E-23	T	15-06-2025	IPR000887	KDPG/KHG aldolase	GO:0016829(InterPro)	-
YP_005226642.1	edcb46d43205b707fa7f4361ec993e03	459	Pfam	PF00324	Amino acid permease	17	448	3.8E-122	T	15-06-2025	IPR004841	Amino acid permease/ SLC12A domain	GO:0016020(InterPro)|GO:0055085(InterPro)	-
YP_005229470.1	1e18a848e81924422d4d726a5b472ae2	200	Pfam	PF07305	Protein of unknown function (DUF1454)	13	193	8.0E-83	T	15-06-2025	IPR009918	Protein of unknown function DUF1454	-	-
YP_005227511.1	a2e857cb82823674bd1cc46ddf9420bb	462	Pfam	PF07690	Major Facilitator Superfamily	46	422	9.7E-12	T	15-06-2025	IPR011701	Major facilitator superfamily	GO:0022857(InterPro)|GO:0055085(InterPro)	-
YP_005225320.1	4098830d89db593e1d4c1afe3b1216c4	221	Pfam	PF12710	haloacid dehalogenase-like hydrolase	7	188	7.2E-30	T	15-06-2025	-	-	-	-
YP_005227538.1	b1bcc9008a8290436224ef4ae2ed5813	559	Pfam	PF00916	Sulfate permease family	29	411	9.7E-75	T	15-06-2025	IPR011547	SLC26A/SulP transporter domain	GO:0016020(InterPro)	-
YP_005227538.1	b1bcc9008a8290436224ef4ae2ed5813	559	Pfam	PF01740	STAS domain	451	553	3.5E-12	T	15-06-2025	IPR002645	STAS domain	-	-
